University,Department,Funding,Funding Amount,GRE Waiver,IELTS Waiver,Application Fee Waiver,Required Document,Application Links,Professors,Application Deadline
University of British Columbia (UBC),Department of Computer Science,Standard doctoral funding packages (tuition + stipend),,Yes,Conditional,Available for eligible applicants (contact admissions),CV / Resume; Statement of purpose (SOP); Official transcript,https://www.cs.ubc.ca/students/graduate,https://www.cs.ubc.ca/students/graduate/people,2025-12-01
University of Copenhagen,Faculty of Health and Medical Sciences,PhD candidates employed with salary; Novo Nordisk/European grants,,Yes,Conditional,N/A or not applicable,CV / Resume; Official transcript; Research proposal,https://www.ku.dk/english/,https://www.ku.dk/english/people,2026-01-15
McGill University,Faculty of Medicine,Graduate funding packages including fellowships and RA/TA positions,,Yes,Conditional,Available for eligible applicants (contact admissions),CV / Resume; Statement of purpose (SOP); Official transcript,https://www.mcgill.ca/gradapplicants/programs/phd-pharmacology-therapeutics,https://www.mcgill.ca/gradapplicants/programs/phd-pharmacology-therapeutics/people,2025-12-01
University of Melbourne,School of Chemistry,Melbourne Research Scholarships and RTP scholarships (tuition + stipend),,Yes,Conditional,Available for eligible applicants (contact admissions),CV / Resume; Official transcript; Research proposal,https://study.unimelb.edu.au/,https://study.unimelb.edu.au/people,2025-12-01
Kyoto University,Graduate School of Medicine,MEXT scholarships and university fellowships (tuition + stipend),,Yes,Conditional,Available for eligible applicants (contact admissions),CV / Resume; Official transcript; Research proposal,https://www.kyoto-u.ac.jp/,https://www.kyoto-u.ac.jp/people,2025-12-25
University of Cape Town,Computer Science,UCT scholarships and departmental awards,,Yes,Conditional,Available for eligible applicants (contact admissions),CV / Resume; Official transcript; Research proposal,https://www.cs.uct.ac.za/,https://www.cs.uct.ac.za/people,2026-01-31
University of Glasgow,"College of Medical, Veterinary & Life Sciences",College scholarships and external fellowships (tuition + stipend),,Yes,Conditional,Available for eligible applicants (contact admissions),CV / Resume; Official transcript; Research proposal,https://www.gla.ac.uk/postgraduate/research/,https://www.gla.ac.uk/postgraduate/research/people,2026-01-31
University of Texas at Austin,Cockrell School of Engineering,"Graduate fellowships, TA/RA positions, and department fellowships (tuition + stipend)",,Yes,Conditional,Available for eligible applicants (contact admissions),CV / Resume; Statement of purpose (SOP); Official transcript; GRE scores,https://www.che.utexas.edu/graduate/,https://www.che.utexas.edu/graduate/people,2025-12-01
University of Illinois Urbana-Champaign,Department of Computer Science,"Graduate College fellowships, departmental assistantships (tuition + stipend)",,Yes,Conditional,Available for eligible applicants (contact admissions),CV / Resume; Statement of purpose (SOP); Official transcript,https://cs.illinois.edu/admissions/graduate-admissions,https://cs.illinois.edu/admissions/graduate-admissions/people,2025-12-15
University of Queensland,School of Earth and Environmental Sciences,UQ Graduate School scholarships and ARC-funded fellowships (tuition + stipend),,Yes,Conditional,Available for eligible applicants (contact admissions),CV / Resume; Official transcript; Research proposal,https://www.uq.edu.au/,https://www.uq.edu.au/people,2026-02-01
University of Sydney,School of Public Health,University scholarships and NHMRC fellowships (tuition + stipend),,Yes,Conditional,Available for eligible applicants (contact admissions),CV / Resume; Official transcript; Research proposal,https://www.sydney.edu.au/,https://www.sydney.edu.au/people,2026-02-28
University of Groningen,Faculty of Science and Engineering,Groningen Talent Grants and scholarships (tuition + stipend for winners),,Yes,Conditional,Available for eligible applicants (contact admissions),CV / Resume; Personal statement; Official transcript,https://www.rug.nl/masters/artificial-intelligence/,https://www.rug.nl/masters/artificial-intelligence/people,2026-01-15
University of Barcelona,Faculty of Earth Sciences,FPI fellowships and university contracts (tuition + stipend),,Yes,Conditional,Available for eligible applicants (contact admissions),CV / Resume; Official transcript; Research proposal,https://www.ub.edu/portal/en/,https://www.ub.edu/portal/en/people,2026-01-20
University of Edinburgh,School of Informatics/Statistics,College scholarships and Edinburgh Global Research Scholarships,,Yes,Conditional,Available for eligible applicants (contact admissions),CV / Resume; Personal statement; Official transcript,https://www.ed.ac.uk/studying/postgraduate/degrees,https://www.ed.ac.uk/studying/postgraduate/degrees/people,2026-01-08
University of Antwerp,Faculty of Medicine and Health Sciences,"Doctoral fellowships, BOF grants, and FWO-funded positions (salary + benefits)",,Yes,Conditional,Available for eligible applicants (contact admissions),CV / Resume; Official transcript; Research proposal,https://www.uantwerpen.be/en/,https://www.uantwerpen.be/en/people,2026-01-31
